#First-Come First-Serve
Pid,CPUTime,StartBurstTime,EndBurstTime,Complete
15,6164,612,552,False
16,6227,229,169,False
17,6290,318,258,False
1,6353,475,415,False
2,6416,249,189,False
3,6479,378,318,False
4,6542,104,44,False
5,6605,306,246,False
7,6668,146,86,False
8,6731,273,213,False
9,6794,364,304,False
10,6857,283,223,False
12,6920,12,0,True
14,6971,451,391,False
15,7034,552,492,False
16,7097,169,109,False
17,7160,258,198,False
1,7223,415,355,False
2,7286,189,129,False
3,7349,318,258,False
4,7412,44,0,True
5,7431,246,186,False
7,7494,86,26,False
8,7557,213,153,False
9,7620,304,244,False
10,7683,223,163,False
14,7746,391,331,False
15,7809,492,432,False
16,7872,109,49,False
17,7935,198,138,False
1,7998,355,295,False
2,8061,129,69,False
3,8124,258,198,False
5,8187,186,126,False
7,8250,26,0,True
8,8287,153,93,False
9,8350,244,184,False
10,8413,163,103,False
14,8476,331,271,False
15,8539,432,372,False
16,8602,49,0,True
17,8616,138,78,False
1,8679,295,235,False
2,8742,69,9,False
3,8805,198,138,False
5,8868,126,66,False
8,8931,93,33,False
9,8994,184,124,False
10,9057,103,43,False
14,9120,271,211,False
15,9183,372,312,False
17,9246,78,18,False
1,9309,235,175,False
2,9372,9,0,True
3,9426,138,78,False
5,9489,66,6,False
8,9552,33,0,True
9,9582,124,64,False
10,9645,43,0,True
14,9665,211,151,False
15,9728,312,252,False
17,9791,18,0,True
1,9836,175,115,False
3,9899,78,18,False
5,9962,6,0,True
9,10019,64,4,False
14,10082,151,91,False
15,10145,252,192,False
1,10208,115,55,False
3,10271,18,0,True
9,10316,4,0,True
14,10375,91,31,False
15,10438,192,132,False
1,10501,55,0,True
14,10509,31,0,True
15,10541,132,72,False
15,10604,72,12,False
15,10667,12,0,True
" "
Average Turn Around Time: 8423
" "
" "
#Lottery
Pid,CPUTime,StartBurstTime,EndBurstTime,Complete
1,0,835,785,False
11,83,217,167,False
14,175,811,761,False
13,264,301,251,False
7,335,506,456,False
1,388,785,735,False
7,459,456,406,False
4,521,464,414,False
7,592,406,356,False
7,663,356,306,False
2,719,609,559,False
11,802,167,117,False
1,855,735,685,False
12,941,372,322,False
14,1033,761,711,False
3,1092,738,688,False
3,1151,688,638,False
1,1204,685,635,False
12,1290,322,272,False
4,1352,414,364,False
18,1456,229,179,False
8,1530,633,583,False
5,1595,666,616,False
12,1681,272,222,False
3,1740,638,588,False
14,1832,711,661,False
15,1927,912,862,False
5,1992,616,566,False
1,2045,635,585,False
16,2143,529,479,False
4,2205,364,314,False
1,2258,585,535,False
3,2317,588,538,False
16,2415,479,429,False
12,2501,222,172,False
5,2566,566,516,False
3,2625,538,488,False
7,2696,306,256,False
11,2779,117,67,False
14,2871,661,611,False
15,2966,862,812,False
5,3031,516,466,False
13,3120,251,201,False
4,3182,314,264,False
17,3283,618,568,False
11,3366,67,17,False
2,3422,559,509,False
14,3514,611,561,False
1,3567,535,485,False
10,3647,643,593,False
5,3712,466,416,False
12,3798,172,122,False
9,3875,724,674,False
2,3931,509,459,False
4,3993,264,214,False
9,4070,674,624,False
4,4132,214,164,False
2,4188,459,409,False
9,4265,624,574,False
11,4348,17,0,True
2,4371,409,359,False
2,4427,359,309,False
2,4483,309,259,False
8,4557,583,533,False
2,4613,259,209,False
1,4666,485,435,False
7,4737,256,206,False
2,4793,209,159,False
1,4846,435,385,False
8,4920,533,483,False
17,5018,568,518,False
14,5107,561,511,False
5,5172,416,366,False
14,5261,511,461,False
5,5326,366,316,False
12,5409,122,72,False
14,5498,461,411,False
1,5551,385,335,False
13,5637,201,151,False
9,5714,574,524,False
10,5794,593,543,False
1,5847,335,285,False
5,5912,316,266,False
7,5983,206,156,False
9,6060,524,474,False
7,6131,156,106,False
7,6202,106,56,False
1,6255,285,235,False
10,6335,543,493,False
2,6391,159,109,False
1,6444,235,185,False
1,6497,185,135,False
16,6592,429,379,False
1,6645,135,85,False
13,6731,151,101,False
14,6820,411,361,False
2,6876,109,59,False
2,6932,59,9,False
1,6985,85,35,False
15,7077,812,762,False
2,7133,9,0,True
1,7145,35,0,True
15,7216,762,712,False
8,7284,483,433,False
12,7361,72,22,False
10,7435,493,443,False
7,7500,56,6,False
13,7580,101,51,False
14,7663,361,311,False
12,7740,22,0,True
14,7792,311,261,False
5,7851,266,216,False
7,7916,6,0,True
17,7958,518,468,False
